,AL,AMMC,CCP,CMP,CVLP,DLP,DMP,EB,FB,IDFP,LH,LOB,LOP,MB,MED,NOD,OG,OPTU,PAN,PCB,SDFP,SOG,SPP,VLP-D,VLP-V,VMP,al,ammc,ccp,cmp,cvlp,dlp,dmp,idfp,lh,lob,lop,mb,med,nod,og,optu,pan,sdfp,sog,spp,vlp-d,vlp-v,vmp
LH,35.880230849,31.3799238599,79.8982894188,20.3056526998,79.954279206,1298.1110717514,210.7510840658,0,42.1616883934,49.6077520018,0,10.1911471296,0,79.5010106264,42.5469061976,0,4.8284271247,19.8954469971,35.0510557968,0,629.4687679557,57.3022164929,226.6197648993,428.6024394648,18.8411204172,169.9678063617,9.7772946631,2.7320508076,15.6641945485,0,10.0904808904,133.1540134351,20.3987006819,28.4328976831,84.2895317687,0,0,70.4246919786,0,1.7320508076,4.8989794856,1.4142135624,1.7320508076,155.7790035674,27.8548711904,21.2280335606,56.8850150069,12.9614813968,17.1294166336
LOB,0,1.7320508076,77.2659313005,65.6929847379,224.8522873164,291.4057003694,817.1148366209,0,7.8102496759,41.2528795642,28.781972669,0,374.1798433275,5.6457513111,781.3243615741,1,244.1930725794,704.0542105845,24.3233491625,0,38.5516027531,11.5743938172,274.3929514477,2044.6816946464,18.6003759769,438.8521561321,0,0,28.7665772866,7.7320508076,48.2739308803,0,64.8966655847,14.2909903743,0,134.4891746779,44.3309516644,0,21.9604116103,0,35.3627260303,0,0,0,0,0,103.4247529077,20.4455231423,82.789967917
LOP,0,0,2,19.0550410182,564.6518624944,0,81.2522681037,0,0,2.8284271247,0,1389.6032348512,0,0,609.535615452,0,0,0,0,0,0,4.4494897428,0,50.929186496,0,54.0247825895,0,0,0,6.3245553203,27.0168295543,0,6.5574385243,0,0,0,71.70250965,0,6.3245553203,0,0,0,0,0,0,0,9.2736184955,0,0
MB,61.4107808005,16.4241812375,65.6567649503,4.4142135624,18.2838593178,159.8326360924,139.292219367,322.2696870999,253.5730928368,359.592643114,119.477366129,9.9174035794,0,0,23.9968690739,11.8414286694,0,29.8711047601,27.5483495191,2.4494897428,567.7283519204,87.0380074043,81.1539160362,41.2852439166,0,94.484757088,44.6557040517,4.4142135624,39.2994411727,0,7.472135955,67.7298728575,124.9505362685,148.2355076458,68.7990753896,0,0,488.8762375069,0,15.35135835,1.4142135624,24.0844304524,3,313.6090956037,62.0053194908,39.7342907888,23.9517403007,3.7416573868,52.9650719167
MED,4.472135955,0,38.7911446263,144.5907298536,225.4404137158,81.4413026514,304.9226846659,0,0,20.9284495365,69.1119764899,1766.6707601993,491.0412754276,0,0,0,31.5200995079,71.2257688236,0,0,7.0710678119,14.7986485869,344.8024609487,414.031321481,5.3166247904,385.8332061725,0,0,2,7.1414284285,28.116820486,0,11.2538787235,0,0,510.5762813667,172.57155297,0,1107.5190424383,0,6.2360679775,0,0,0,0,0,13.8403066758,0,77.1006335504
NOD,0,1,2.8284271247,0,8.5872072408,4.8783151775,23.6325480132,6.3823323474,82.9536441079,18.3382665871,2.8284271247,0,0,11.8304120495,0,0,0,1,0,2.4494897428,32.0373449949,6.8914391374,6.4737081943,9.8914391374,0,6.4641016151,0,4.4641016151,8.623489945,1,10.1282422951,1,29.5583292303,40.8970012959,0,0,0,3,0,5.1622776602,1,0,0,6.1622776602,7.2693699956,3.7320508076,12.792015681,4.7416573868,4.2426406871
OG,3.4641016151,12.8145527476,12.5205575546,4,13.2426406871,26.4755849009,43.6253198278,0,0,7.7459666924,17.702098105,1202.4294799006,13.8736709803,1.4142135624,87.0811564262,2,0,0,7.2111025509,0,2.4142135624,22.6733320005,45.1604613024,415.34357778,41.9530774079,31.2079385302,0,1.4142135624,2,0,4.6457513111,6.6921304299,11.4537802823,0,0,5.8284271247,2,1.7320508076,0,0,3.7320508076,0,0,0,0,6.5957541127,39.9663779788,2,8.2779168675
OPTU,1.4142135624,2.4494897428,112.652537558,9.2057590019,20.0006022357,36.5461234531,117.8604307849,7.9681187851,70.2801025809,33.1222673519,3.8729833462,78.0350041931,0,11.6909951666,1.4142135624,1.7320508076,0,0,0,0,139.0275603256,11.8271827158,28.8432232199,23.2483940576,0,111.3810782449,1.4142135624,0,57.3363694814,0,4.5764912225,46.4606584634,111.4709409187,49.3942151063,7.5957541127,0,0,21.6251184001,0,4.4142135624,0,126.2197976827,0,80.0216503014,1.7320508076,26.3914247293,20.7580317729,0,70.943366071
PAN,120.5038711386,7.0710678119,77.6118366113,2.4142135624,47.854460225,104.2983055605,211.4890241764,1,5.8783151775,33.1489255547,242.8457215019,18.626339684,0,51.9809663101,2.2360679775,0,0,2.4142135624,0,0,71.2289588896,69.6003717886,276.8434673633,242.9183409043,2.8284271247,61.3489761553,28.9814484271,4.8783151775,5.5957541127,1,14.5923439103,3.7320508076,4.2426406871,11.9216256978,16.5158789827,0,0,6.5764912225,0,0,2,0,8.4494897428,15.2141544377,18.242658973,14.1590669175,7.7320508076,3.7416573868,3.6055512755
PCB,1,0,57.1646618659,0,214.7561057037,1,498.425500959,62.6984934518,245.551706021,1226.6645066682,1.7320508076,7.1961524227,0,26.8018693877,8.4261497732,102.1814343752,2.4494897428,0,0,0,9.3630811007,0,5.4641016151,26.5728729344,0,22.0213688048,0,0,58.1836229656,3,238.7075913862,2,652.700809618,1373.1894031116,3.9681187851,1.4142135624,0,46.04091164,0,89.0032819698,0,1.7320508076,0,33.7412895248,2.4494897428,0,56.1701101367,0,29.7946816886
SDFP,92.3911386834,51.4135380295,354.3112283635,12.8690199624,55.1881233027,674.6160928292,564.1281676882,298.4421334378,2118.3605828707,431.1788122463,95.0996045784,153.3375691421,0,748.8630959944,23.2466686333,41.4872314282,2.4494897428,180.4250509715,45.8206596474,0,0,551.9202715322,298.8319010301,160.2691043885,0,406.0411872269,121.2326595024,12.934771117,269.3972652022,3.8284271247,19.4673160442,377.1889814367,761.8218294747,304.2149229846,85.3806253579,0,0,937.8985820766,0,67.6584719316,0,161.4371198628,16.9551595388,1840.2303124646,503.4018828317,190.1473091998,271.0445789525,0,287.3476825422
SOG,82.6867597593,206.8373784787,208.2857858847,110.8968934206,203.4293397131,367.964634802,631.871346496,7.8284271247,42.8102317907,159.6853729974,428.3461248394,88.921673295,20.1968802722,113.627777978,288.4857194217,7.8284271247,0,7.1961524227,20.9439666726,1,592.0583420651,0,377.6177388532,558.6695634192,42.1965072967,270.0086982487,26.0690326996,194.8477200264,38.124236564,121.3199515231,224.0808733453,136.15281953,90.8344325277,35.3909116078,149.7877697776,4.4494897428,0,43.8574157956,149.8195769561,9,8.874007874,2.8284271247,9.031865978,381.0363613656,691.3372335499,47.4910451874,158.3725128552,71.7861180128,204.7843907537
SPP,45.3455367838,59.7969517864,187.640794765,39.2010622875,160.3519038778,470.3635124826,574.736802743,23.6800188757,189.6294183809,72.5258632824,272.6754470606,115.3884963202,13.7900876571,126.4975168402,302.2531406744,4.7416573868,21.0285735651,99.7036874549,62.7651724705,0,782.3987734799,154.5017501924,0,422.5533495585,11.2998151704,305.7442050574,19.3463530568,7.2847435754,80.6906141771,0,19.4293325323,166.4183591056,445.3669213786,43.9638322826,43.8526948376,1.4142135624,0,60.7815201582,0,7.3131930479,4,15.337602083,1.7320508076,254.3856819816,77.8565890828,157.8110436532,252.7632678427,11.9972188066,110.347997203
VLP-D,40.9924075131,162.5146889335,220.3168389637,112.6782017564,318.1496988844,555.8276790232,890.7373043704,17.3811614482,136.4092279673,100.2842495371,328.5145947134,1203.6853828202,198.4319008158,74.6446479167,464.738531373,15.0472287802,259.9773223436,238.8468757838,73.9056836485,0,567.2122249846,409.8017712356,509.7868514997,0,451.757240874,572.846048656,1,51.9358686666,121.6598576141,21.4981133897,169.7816079173,221.4139079953,609.3623347968,48.7457803618,14.5166280414,12.6345796138,4.3778021186,14.8602931027,2,8.4241812375,21.2331599426,6.2871969086,1.4142135624,102.3083708565,116.6250190725,187.3301607528,833.4656766499,79.7048423371,251.7060274461
VLP-V,13.8615765867,109.14917569,34.1856385007,33.4664010614,87.9156391485,151.9679261124,148.5726917119,6.6055512755,13.9738380633,10.5671960075,80.0109857498,27.5172672766,0,15.9780720953,23.3922214945,3.8729833462,23.8516510902,10.4322204002,16.2003080213,0,37.5877519109,217.6082568747,103.3835996704,891.1276496094,0,101.3732837131,0,34.1645408274,13.4274105224,5.3983456377,34.902230947,55.3712816608,88.6706978222,4.8989794856,0,1.4142135624,0,4.472135955,0,0,7.0997712827,0,1.4142135624,16.019333083,42.0891850209,60.28116868,238.924052958,60.6557094368,10.5945416579
VMP,75.9233735678,273.6490853733,693.265768916,360.5538647439,903.9981351179,325.4700250704,1713.0842563896,49.8422526896,112.9107777164,372.5837913085,484.5587625204,542.5702748914,182.0660967618,231.3943684114,1056.4943833542,24.3928019702,13.8697726035,123.9615809768,54.528910508,12.8831150855,456.9609800786,511.8867652883,770.7902527229,919.3845793484,29.7720458465,0,14.7676383521,245.9506088626,1258.0169041081,155.351739742,547.4406294137,16.8983492263,1690.8119981961,93.4685511732,44.1768071232,79.3007386795,28.6152625552,39.7791547614,454.8574064274,13.980630624,10.8963220153,25.4490643376,5.3851648071,135.2670822831,269.7645341799,60.4199015982,270.8017096462,60.6862241033,1242.0083414658
al,295.4115246777,10.0386746705,23.5504587439,0,5.4494897428,7.5604779323,25.1995460899,8.7147766421,8.4981653407,50.3492680463,71.3597179042,0,0,43.8232855831,0,2,0,3.8637033052,15.9023779756,6.1622776602,26.4800913794,41.5398059752,41.6945885916,10.2448280206,0,48.7328140087,0,16.5737100292,24.0712248208,3.4142135624,88.9777671849,173.5874985219,170.4134607093,150.4672270659,2574.1337338201,18.2482875909,0,917.5137570444,4.2426406871,0,0,37.6099297825,88.2435128653,281.6050344498,88.6575892215,382.1456516768,205.8309664478,18.8530066722,73.6605787534
ammc,24.4689144263,400.6064437177,38.9790615437,81.0564734646,677.4669012052,2.8284271247,97.0711174438,3.4142135624,13.1423533418,43.2379951797,12.1962840876,3.7416573868,0,14.5592335234,63.1839948326,0,2.2360679775,0,5.2426406871,2.4142135624,33.8505450257,149.2442502857,43.7011101668,160.2865126566,72.1969264165,119.1164316931,8.4334612785,0,50.0642471829,261.2795159816,1097.5831346358,49.1396469354,230.0381103538,23.1066421835,106.2190242484,32.6730730034,19.7238052948,36.3225819536,194.4218142497,1,13.8550276937,3.1462643699,8.9842980739,36.8386183602,202.5993890321,149.0115091873,309.662328767,93.1691930194,244.1351989345
ccp,8.6602540378,78.1474898823,897.1673327151,94.0197451568,347.9206729644,25.0333347677,1222.5835872754,47.7670294209,152.2480124314,546.107179898,16.1515878478,176.3225422128,21.4913836711,24.9461440213,129.0768051222,27.0491590949,3.4494897428,37.0005845925,7.0696528906,56.1515313499,99.1733032305,100.5094809981,78.8213596148,134.5036403855,7.611767403,625.9535375347,24.7283019702,103.3315633944,0,67.7469088908,368.8243254729,61.1096360575,804.5848415924,340.9016735939,83.105756957,163.1936751837,27.8510636478,64.213041474,410.6738996514,3.1462643699,20.423892615,48.1828187523,26.0574125606,222.7574181328,114.107001559,223.0494195731,400.2993916031,59.9975366758,536.574445473
cmp,13.3152601053,113.2962593554,27.1695830422,158.8053281805,265.6898111723,0,75.1980435677,2.4142135624,15.3160512039,13.2460356526,0,6.2360679775,2.2360679775,3.7320508076,2.8284271247,2,0,0,3.1622776602,3.1622776602,12.7865747041,140.68645392,20.2014759005,32.9389035778,9.9907047849,113.1040291031,4.5604779323,114.386851396,65.5519070362,0,434.8377671036,53.3829121743,438.5796407319,147.2139053992,130.0019913203,91.4034618911,128.1112217513,61.5751075718,260.283894249,7.4494897428,2,10.8863495174,11.1698177996,53.4122177833,157.5493362379,202.3704581143,344.0635387464,19.3876109164,258.3451200853
cvlp,33.8785892362,199.6500568863,616.8860531549,190.6335325436,1480.6847993552,3.4142135624,839.5026363292,31.4576771954,172.9700602205,155.1573340617,0,47.0716698126,8.8317608663,16.0342720739,3,26.1644765986,5.9777253643,2.8284271247,5.2779168675,11.3776929731,54.1670901146,153.0036154542,83.3234881959,300.1213749452,63.8842402556,679.8387954874,33.624750243,304.4550402349,445.0206077178,409.0757049955,0,157.9195068795,1521.3638312257,538.697921058,366.2473919027,357.1670579868,529.6873155185,201.590256651,996.774668995,43.8255391442,30.3087262529,90.1085320897,46.0665727367,301.9161797271,281.8326433406,535.3084369731,1219.6913157818,102.3262512402,977.5268266067
dlp,51.2219180101,0,50.8263337407,9.3358392602,12.6263792753,281.943724988,109.6400986136,37.2252682563,363.2122128799,44.8843723506,37.9814174731,2,0,72.5664562505,34.8545147761,2.4142135624,2,75.441940541,3.3166247904,7.3131930479,365.4103195595,53.8156934254,81.2080933386,76.1913772957,6.2360679775,31.237267532,51.0307308739,9.1625517148,84.6218212223,10.9681187851,26.0329478327,0,185.9991733467,65.2015833496,273.5187111392,17.0087552203,0,182.8304945082,0,6,1.4142135624,57.5854597561,22.1431247545,1177.9756302158,69.1410391631,310.6383079797,175.9454827402,31.8349992406,100.36971772
